Nombre,Nivel,EstadoActivo
ALMACENISTA,1,true
ANALISTA DE SELECCION,1,true
ANALISTA DE TECNOLOGIA,1,true
ANALISTA JURIDICO,1,true
APRENDIZ SENA,1,true
ASISTENTE ADMINISTRATIVO,1,true
ASISTENTE COMERCIAL,1,true
ASISTENTE DE TECNOLOGIA,1,true
ASISTENTE MEDIOS TECNOLOGICOS,1,true
ASISTENTE OPERACIONES,1,true
ASISTENTE RECURSOS HUMANOS,1,true
ASISTENTE TECNICO,1,true
AUXILIAR CONTABLE,1,true
AUXILIAR DE ARCHIVO,1,true
AUXILIAR DE NOMINA,1,true
AUXILIAR DE PROGRAMACION,1,true
AUXILIAR DE TECNOLOGIA,1,true
COORDINADOR DE CALIDAD,1,true
COORDINADOR DE OPERACIONES,1,true
COORDINADORA DE SERVICIO,1,true
DIRECTOR AGENCIA TUNJA,1,true
DIRECTOR COMERCIAL,1,true
DIRECTOR DE MEDIOS TECNOLOGICOS,1,true
DIRECTOR DE RIESGOS E INVESTIGACION,1,true
DIRECTOR INNOVACION Y TECNOLOGIA,1,true
DIRECTOR SEGURIDAD ELECTRONICA,1,true
DIRECTORA COMERCIAL,1,true
DIRECTORA DE CONTABILIDAD,1,true
DIRECTORA DE NOMINA,1,true
DIRECTORA RECURSOS HUMANOS,1,true
DIRECTORA SISTEMAS DE CALIDAD,1,true
DISEÑADORA DE CONTENIDO DIGITAL,1,true
EJECUTIVA COMERCIAL,1,true
GERENTE,1,true
GERENTE BOGOTA,1,true
GERENTE DE OPERACIONES,1,true
GUARDA DE SEGURIDAD,1,true
GUARDA LIDER,1,true
INGENIERO ELECTRONICO DE PROYECTO,1,true
OPERADOR MEDIOS TECNOLOGICOS,1,true
PROGRAMADORA,1,true
SECRETARIA GENERAL,1,true
SERVICIOS GNALES,1,true
SUB GERENTE,1,true
SUPERVISOR,1,true
SUPERVISOR DE PROYECTOS,1,true
SUPERVISOR DE PUESTO,1,true
SUPERVISOR MOTORIZADO,1,true
TECNICO DE SEGURIDAD ELECTRONICA,1,true
TECNICO EN INSTALACION,1,true
TECNICO EN INSTALACIONES,1,true
TECNICO EN MANTENIMIENTO,1,true
